,Descending_Time,Solar_Cycle_Maxima
0,4.367999999999938,158.81861738535255
1,5.932000000000016,182.77686516084862
2,6.296000000000049,103.22313483915127
3,6.01299999999992,125.09993155373027
4,6.671000000000049,96.10335386721434
5,5.2409999999999854,127.80013689253938
6,7.115000000000009,115.42642026009574
7,6.072000000000116,164.28199863107474
8,5.04099999999994,191.11635865845295
9,5.679000000000087,242.52019164955504
10,5.875999999999976,145.072553045859
11,5.352000000000089,201.89938398357265
12,6.246000000000095,191.12388774811757
13,6.695999999999913,162.45448323066407
14,5.745000000000118,95.62422997946614
